uid,variant_number,total_active_mins
0,0,43.0
2,0,17.0
3,0,77.0
4,0,39.0
6,0,26.0
7,0,21.0
9,0,42.0
13,0,17.0
14,0,3.0
15,0,35.0
16,0,56.0
18,0,2.0
20,0,77.0
21,0,11.0
22,0,19.0
23,0,58.0
26,0,10.0
27,0,13.0
31,0,42.0
32,0,36.0
33,0,96.0
34,0,72.0
37,0,23.0
40,0,8.0
41,0,97.0
42,0,1.0
43,0,28.0
44,0,67.0
45,0,3.0
46,0,42.0
47,0,10.0
48,0,21.0
49,0,13.0
50,0,123.0
51,0,40.0
53,0,35.0
54,0,20.0
55,0,2.0
56,0,68.0
57,0,22.0
59,0,14.0
60,0,65.0
61,0,3.0
63,0,37.0
64,0,20.0
66,0,13.0
67,0,24.0
68,0,2.0
70,0,29.0
71,0,111.0
72,0,38.0
74,0,31.0
76,0,30.0
77,0,34.0
79,0,2.0
80,0,30.0
81,0,91.0
82,0,26.0
83,0,21.0
85,0,16.0
87,0,47.0
90,0,20.0
91,0,45.0
92,0,119.0
93,0,54.0
95,0,3.0
96,0,50.0
97,0,18.0
100,0,33.0
102,0,20.0
105,0,34.0
107,0,46.0
108,0,6.0
110,0,33.0
113,0,1.0
114,0,13.0
115,0,3.0
117,0,48.0
118,0,20.0
121,0,87.0
124,0,59.0
125,0,6.0
127,0,38.0
128,0,6.0
129,0,14.0
130,0,14.0
131,0,2.0
132,0,86.0
133,0,11.0
134,0,102.0
136,0,12.0
137,0,3.0
138,0,3.0
139,0,51.0
140,0,31.0
141,0,82.0
143,0,42.0
145,0,29.0
147,0,9.0
148,0,22.0
154,0,80.0
157,0,44.0
158,0,12.0
159,0,13.0
160,0,5.0
161,0,4.0
162,0,88.0
165,0,6.0
166,0,8.0
167,0,17.0
170,0,15.0
171,0,4.0
172,0,15.0
173,0,24.0
175,0,102.0
176,0,61.0
177,0,30.0
178,0,64.0
179,0,48.0
181,0,4.0
183,0,21.0
184,0,6.0
187,0,58.0
188,0,11.0
189,0,5.0
192,0,54.0
193,0,46.0
194,0,38.0
195,0,35.0
198,0,30.0
199,0,2.0
201,0,66.0
202,0,12.0
203,0,5.0
205,0,47.0
206,0,64.0
208,0,4.0
211,0,45.0
213,0,6.0
215,0,81.0
217,0,5.0
218,0,40.0
219,0,73.0
220,0,41.0
222,0,8.0
223,0,30.0
224,0,13.0
226,0,99.0
228,0,36.0
233,0,15.0
236,0,124.0
237,0,75.0
238,0,18.0
239,0,15.0
240,0,1.0
241,0,87.0
242,0,11.0
245,0,3.0
247,0,29.0
252,0,20.0
255,0,35.0
256,0,54.0
257,0,4.0
258,0,51.0
259,0,1.0
260,0,5.0
262,0,75.0
264,0,63.0
265,0,22.0
266,0,10.0
267,0,9.0
269,0,61.0
270,0,27.0
271,0,94.0
272,0,3.0
275,0,2.0
276,0,5.0
277,0,98.0
286,0,20.0
287,0,4.0
288,0,22.0
289,0,44.0
290,0,108.0
292,0,40.0
293,0,2.0
294,0,48.0
295,0,19.0
298,0,91.0
299,0,71.0
301,0,37.0
302,0,45.0
305,0,17.0
306,0,90.0
307,0,60.0
308,0,45.0
309,0,37.0
310,0,109.0
313,0,5.0
314,0,13.0
316,0,105.0
324,0,10.0
325,0,4.0
327,0,9.0
328,0,28.0
329,0,71.0
330,0,20.0
331,0,17.0
332,0,9.0
333,0,25.0
334,0,25.0
335,0,53.0
336,0,44.0
337,0,38.0
338,0,113.0
340,0,115.0
341,0,2.0
342,0,20.0
344,0,36.0
345,0,88.0
