uid,variant_number,total_active_mins,active_mins_pre,active_mins_diff
0,0,43,70,-27
2,0,17,37,-20
3,0,77,108,-31
4,0,39,66,-27
6,0,26,12,14
7,0,21,34,-13
9,0,42,52,-10
10,0,127,74,53
11,0,142,96,46
13,0,17,29,-12
14,0,3,15,-12
16,0,56,9,47
18,0,2,33,-31
20,0,77,127,-50
21,0,11,25,-14
22,0,19,10,9
23,0,58,61,-3
26,0,10,17,-7
27,0,13,73,-60
28,0,270,265,5
30,0,771,726,45
31,0,42,74,-32
32,0,36,68,-32
34,0,72,79,-7
36,0,317,264,53
37,0,23,29,-6
40,0,8,5,3
41,0,97,112,-15
42,0,1,8,-7
43,0,28,22,6
44,0,67,81,-14
45,0,3,31,-28
46,0,42,35,7
47,0,10,9,1
49,0,13,4,9
53,0,35,17,18
54,0,20,27,-7
55,0,2,16,-14
56,0,68,52,16
57,0,22,31,-9
59,0,14,50,-36
61,0,3,28,-25
63,0,37,30,7
64,0,20,10,10
66,0,13,7,6
68,0,2,6,-4
70,0,29,22,7
71,0,111,76,35
72,0,38,23,15
74,0,31,54,-23
76,0,30,14,16
77,0,34,14,20
79,0,2,11,-9
82,0,26,18,8
83,0,21,24,-3
85,0,16,4,12
87,0,47,15,32
90,0,20,12,8
91,0,45,23,22
93,0,54,12,42
95,0,3,25,-22
97,0,18,49,-31
102,0,20,24,-4
103,0,512,556,-44
105,0,34,19,15
106,0,216,241,-25
107,0,46,94,-48
108,0,6,35,-29
109,0,186,157,29
110,0,33,27,6
112,0,447,452,-5
113,0,1,3,-2
114,0,13,9,4
117,0,48,12,36
118,0,20,8,12
121,0,87,102,-15
124,0,59,78,-19
125,0,6,35,-29
127,0,38,42,-4
129,0,14,33,-19
131,0,2,15,-13
133,0,11,1,10
137,0,3,2,1
138,0,3,10,-7
140,0,31,40,-9
141,0,82,124,-42
143,0,42,9,33
145,0,29,5,24
147,0,9,7,2
148,0,22,0,22
154,0,80,50,30
157,0,44,28,16
158,0,12,57,-45
159,0,13,9,4
160,0,5,8,-3
161,0,4,13,-9
162,0,88,96,-8
165,0,6,13,-7
166,0,8,7,1
167,0,17,19,-2
171,0,4,25,-21
172,0,15,23,-8
173,0,24,31,-7
175,0,102,79,23
176,0,61,50,11
177,0,30,35,-5
178,0,64,72,-8
179,0,48,74,-26
181,0,4,17,-13
183,0,21,2,19
184,0,6,36,-30
187,0,58,35,23
188,0,11,15,-4
189,0,5,1,4
192,0,54,104,-50
193,0,46,65,-19
194,0,38,49,-11
195,0,35,50,-15
198,0,30,39,-9
199,0,2,16,-14
201,0,66,79,-13
202,0,12,27,-15
203,0,5,18,-13
204,0,130,157,-27
205,0,47,4,43
206,0,64,56,8
208,0,4,0,4
210,0,442,495,-53
211,0,45,20,25
213,0,6,0,6
215,0,81,59,22
217,0,5,3,2
218,0,40,66,-26
220,0,41,35,6
222,0,8,14,-6
223,0,30,24,6
224,0,13,18,-5
226,0,99,61,38
227,0,147,149,-2
228,0,36,63,-27
231,0,211,215,-4
233,0,15,32,-17
237,0,75,76,-1
238,0,18,36,-18
239,0,15,14,1
240,0,1,2,-1
242,0,11,41,-30
245,0,3,12,-9
247,0,29,25,4
250,0,175,202,-27
252,0,20,19,1
254,0,405,400,5
256,0,54,81,-27
257,0,4,33,-29
258,0,51,96,-45
259,0,1,25,-24
262,0,75,63,12
264,0,63,65,-2
265,0,22,8,14
266,0,10,4,6
267,0,9,15,-6
269,0,61,35,26
272,0,3,3,0
275,0,2,9,-7
276,0,5,4,1
283,0,208,222,-14
286,0,20,10,10
287,0,4,10,-6
290,0,108,108,0
292,0,40,18,22
293,0,2,60,-58
295,0,19,10,9
297,0,127,92,35
299,0,71,104,-33
301,0,37,47,-10
302,0,45,75,-30
303,0,127,174,-47
305,0,17,11,6
306,0,90,86,4
308,0,45,42,3
309,0,37,59,-22
310,0,109,142,-33
313,0,5,19,-14
314,0,13,1,12
316,0,105,112,-7
319,0,164,188,-24
325,0,4,8,-4
326,0,242,291,-49
327,0,9,18,-9
