uid,variant_number,total_active_mins,gender
0,0,43.0,male
1,0,15205.0,male
2,0,17.0,male
3,0,77.0,male
4,0,39.0,male
5,0,174.0,female
6,0,26.0,female
7,0,21.0,male
9,0,42.0,female
10,0,127.0,male
11,0,142.0,female
13,0,17.0,male
14,0,3.0,male
15,0,35.0,male
16,0,56.0,female
17,0,5462.0,female
18,0,2.0,male
19,0,551.0,female
20,0,77.0,male
21,0,11.0,male
22,0,19.0,male
23,0,58.0,female
24,0,130.0,female
25,0,359.0,male
26,0,10.0,female
27,0,13.0,unknown
28,0,270.0,unknown
29,0,3787.0,male
30,0,771.0,male
31,0,42.0,female
32,0,36.0,male
33,0,96.0,unknown
34,0,72.0,male
36,0,317.0,female
37,0,23.0,female
38,0,1099.0,male
39,0,164.0,male
40,0,8.0,female
41,0,97.0,male
42,0,1.0,female
43,0,28.0,female
44,0,67.0,unknown
45,0,3.0,male
46,0,42.0,male
47,0,10.0,male
48,0,21.0,unknown
49,0,13.0,male
50,0,123.0,male
51,0,40.0,male
52,0,1081.0,unknown
53,0,35.0,male
54,0,20.0,female
55,0,2.0,unknown
56,0,68.0,male
57,0,22.0,unknown
58,0,607.0,male
59,0,14.0,male
60,0,65.0,male
61,0,3.0,male
62,0,193.0,male
63,0,37.0,female
64,0,20.0,male
65,0,248.0,unknown
66,0,13.0,unknown
67,0,24.0,unknown
68,0,2.0,female
69,0,3117.0,male
70,0,29.0,male
71,0,111.0,male
72,0,38.0,male
73,0,1413.0,male
74,0,31.0,male
75,0,188.0,male
76,0,30.0,male
77,0,34.0,female
79,0,2.0,unknown
80,0,30.0,male
81,0,91.0,unknown
82,0,26.0,unknown
83,0,21.0,unknown
84,0,1385.0,female
85,0,16.0,unknown
86,0,207.0,unknown
87,0,47.0,male
88,0,160.0,female
89,0,345.0,male
90,0,20.0,female
91,0,45.0,male
92,0,119.0,female
93,0,54.0,unknown
95,0,3.0,female
96,0,50.0,female
97,0,18.0,male
99,0,453.0,male
100,0,33.0,male
101,0,1222.0,male
102,0,20.0,male
103,0,512.0,male
105,0,34.0,unknown
106,0,216.0,male
107,0,46.0,male
108,0,6.0,male
109,0,186.0,male
110,0,33.0,male
112,0,447.0,male
113,0,1.0,female
114,0,13.0,male
115,0,3.0,female
116,0,173.0,male
117,0,48.0,male
118,0,20.0,male
119,0,140.0,male
120,0,290.0,male
121,0,87.0,male
122,0,203.0,female
123,0,11645.0,male
124,0,59.0,unknown
125,0,6.0,male
127,0,38.0,male
128,0,6.0,female
129,0,14.0,male
130,0,14.0,male
131,0,2.0,male
132,0,86.0,female
133,0,11.0,unknown
134,0,102.0,female
136,0,12.0,unknown
137,0,3.0,female
138,0,3.0,male
139,0,51.0,male
140,0,31.0,male
141,0,82.0,male
142,0,307.0,male
143,0,42.0,male
144,0,4831.0,male
145,0,29.0,male
146,0,1991.0,male
147,0,9.0,male
148,0,22.0,female
149,0,1578.0,male
150,0,927.0,unknown
151,0,3139.0,male
152,0,194.0,male
154,0,80.0,unknown
156,0,540.0,male
157,0,44.0,male
158,0,12.0,female
159,0,13.0,female
160,0,5.0,unknown
161,0,4.0,unknown
162,0,88.0,male
163,0,159.0,female
164,0,171.0,male
165,0,6.0,male
166,0,8.0,female
167,0,17.0,male
170,0,15.0,unknown
171,0,4.0,female
172,0,15.0,male
173,0,24.0,female
174,0,2220.0,male
175,0,102.0,female
176,0,61.0,male
177,0,30.0,female
178,0,64.0,female
179,0,48.0,male
180,0,638.0,male
181,0,4.0,unknown
182,0,1859.0,female
183,0,21.0,female
