uid,variant_number,total_active_mins,active_mins_pre,active_mins_diff
0,0,43,70,-27
1,0,15205,19158,-3953
2,0,17,37,-20
3,0,77,108,-31
4,0,39,66,-27
5,0,174,21,153
6,0,26,12,14
7,0,21,34,-13
9,0,42,52,-10
10,0,127,74,53
11,0,142,96,46
13,0,17,29,-12
14,0,3,15,-12
15,0,35,1523,-1488
16,0,56,9,47
17,0,5462,717,4745
18,0,2,33,-31
19,0,551,228,323
20,0,77,127,-50
21,0,11,25,-14
22,0,19,10,9
23,0,58,61,-3
24,0,130,31,99
25,0,359,205,154
26,0,10,17,-7
27,0,13,73,-60
28,0,270,265,5
29,0,3787,3932,-145
30,0,771,726,45
31,0,42,74,-32
32,0,36,68,-32
33,0,96,25,71
34,0,72,79,-7
36,0,317,264,53
37,0,23,29,-6
38,0,1099,690,409
39,0,164,1063,-899
40,0,8,5,3
41,0,97,112,-15
42,0,1,8,-7
43,0,28,22,6
44,0,67,81,-14
45,0,3,31,-28
46,0,42,35,7
47,0,10,9,1
48,0,21,101,-80
49,0,13,4,9
50,0,123,477,-354
51,0,40,120,-80
52,0,1081,1733,-652
53,0,35,17,18
54,0,20,27,-7
55,0,2,16,-14
56,0,68,52,16
57,0,22,31,-9
58,0,607,401,206
59,0,14,50,-36
60,0,65,340,-275
61,0,3,28,-25
62,0,193,270,-77
63,0,37,30,7
64,0,20,10,10
65,0,248,508,-260
66,0,13,7,6
67,0,24,114,-90
68,0,2,6,-4
69,0,3117,3937,-820
70,0,29,22,7
71,0,111,76,35
72,0,38,23,15
73,0,1413,2234,-821
74,0,31,54,-23
75,0,188,88,100
76,0,30,14,16
77,0,34,14,20
79,0,2,11,-9
80,0,30,366,-336
81,0,91,3,88
82,0,26,18,8
83,0,21,24,-3
84,0,1385,463,922
85,0,16,4,12
86,0,207,412,-205
87,0,47,15,32
88,0,160,20,140
89,0,345,652,-307
90,0,20,12,8
91,0,45,23,22
92,0,119,42,77
93,0,54,12,42
95,0,3,25,-22
96,0,50,411,-361
97,0,18,49,-31
99,0,453,387,66
100,0,33,106,-73
101,0,1222,1414,-192
102,0,20,24,-4
103,0,512,556,-44
105,0,34,19,15
106,0,216,241,-25
107,0,46,94,-48
108,0,6,35,-29
109,0,186,157,29
110,0,33,27,6
112,0,447,452,-5
113,0,1,3,-2
114,0,13,9,4
115,0,3,70,-67
116,0,173,36,137
117,0,48,12,36
118,0,20,8,12
119,0,140,270,-130
120,0,290,184,106
121,0,87,102,-15
122,0,203,14,189
123,0,11645,116694,-105049
124,0,59,78,-19
125,0,6,35,-29
127,0,38,42,-4
128,0,6,95,-89
129,0,14,33,-19
130,0,14,83,-69
131,0,2,15,-13
132,0,86,9,77
133,0,11,1,10
134,0,102,180,-78
136,0,12,111,-99
137,0,3,2,1
138,0,3,10,-7
139,0,51,215,-164
140,0,31,40,-9
141,0,82,124,-42
142,0,307,141,166
143,0,42,9,33
144,0,4831,12471,-7640
145,0,29,5,24
146,0,1991,4068,-2077
147,0,9,7,2
148,0,22,0,22
149,0,1578,1486,92
150,0,927,1477,-550
151,0,3139,2274,865
152,0,194,133,61
154,0,80,50,30
156,0,540,802,-262
157,0,44,28,16
158,0,12,57,-45
159,0,13,9,4
160,0,5,8,-3
161,0,4,13,-9
162,0,88,96,-8
163,0,159,60,99
164,0,171,244,-73
165,0,6,13,-7
166,0,8,7,1
167,0,17,19,-2
170,0,15,184,-169
171,0,4,25,-21
172,0,15,23,-8
173,0,24,31,-7
174,0,2220,201,2019
175,0,102,79,23
176,0,61,50,11
177,0,30,35,-5
178,0,64,72,-8
179,0,48,74,-26
180,0,638,155,483
181,0,4,17,-13
182,0,1859,2240,-381
183,0,21,2,19
184,0,6,36,-30
185,0,1636,909,727
186,0,141,414,-273
187,0,58,35,23
188,0,11,15,-4
189,0,5,1,4
190,0,1807,1285,522
191,0,790,534,256
192,0,54,104,-50
193,0,46,65,-19
194,0,38,49,-11
195,0,35,50,-15
197,0,618,82,536
198,0,30,39,-9
199,0,2,16,-14
200,0,289,461,-172
201,0,66,79,-13
202,0,12,27,-15
203,0,5,18,-13
204,0,130,157,-27
205,0,47,4,43
206,0,64,56,8
207,0,563,678,-115
208,0,4,0,4
209,0,517,1624,-1107
210,0,442,495,-53
211,0,45,20,25
212,0,675,751,-76
213,0,6,0,6
214,0,162,450,-288
215,0,81,59,22
216,0,4250,934,3316
217,0,5,3,2
218,0,40,66,-26
219,0,73,158,-85
220,0,41,35,6
221,0,1733,682,1051
222,0,8,14,-6
223,0,30,24,6
224,0,13,18,-5
225,0,2370,2768,-398
226,0,99,61,38
227,0,147,149,-2
228,0,36,63,-27
229,0,1275,1570,-295
231,0,211,215,-4
232,0,546,269,277
233,0,15,32,-17
234,0,366,1080,-714
235,0,2446,158,2288
236,0,124,233,-109
237,0,75,76,-1
238,0,18,36,-18
239,0,15,14,1
240,0,1,2,-1
241,0,87,310,-223
242,0,11,41,-30
243,0,210,352,-142
245,0,3,12,-9
246,0,615,1147,-532
247,0,29,25,4
248,0,4181,502,3679
250,0,175,202,-27
251,0,734,586,148
252,0,20,19,1
253,0,2322,2069,253
254,0,405,400,5
255,0,35,118,-83
256,0,54,81,-27
257,0,4,33,-29
258,0,51,96,-45
259,0,1,25,-24
260,0,5,426,-421
262,0,75,63,12
263,0,2866,3920,-1054
264,0,63,65,-2
265,0,22,8,14
266,0,10,4,6
267,0,9,15,-6
268,0,567,464,103
269,0,61,35,26
270,0,27,170,-143
271,0,94,177,-83
272,0,3,3,0
273,0,544,468,76
274,0,166,247,-81
275,0,2,9,-7
276,0,5,4,1
277,0,98,29,69
278,0,184,122,62
279,0,138,309,-171
280,0,516,2121,-1605
281,0,392,70,322
282,0,429,113,316
283,0,208,222,-14
286,0,20,10,10
287,0,4,10,-6
288,0,22,102,-80
289,0,44,112,-68
290,0,108,108,0
292,0,40,18,22
293,0,2,60,-58
294,0,48,145,-97
295,0,19,10,9
296,0,5395,4370,1025
297,0,127,92,35
298,0,91,14,77
299,0,71,104,-33
300,0,152,8,144
301,0,37,47,-10
302,0,45,75,-30
303,0,127,174,-47
304,0,1149,7009,-5860
305,0,17,11,6
306,0,90,86,4
307,0,60,301,-241
308,0,45,42,3
309,0,37,59,-22
310,0,109,142,-33
311,0,1146,826,320
312,0,214,68,146
313,0,5,19,-14
314,0,13,1,12
315,0,1871,1961,-90
316,0,105,112,-7
317,0,622,90,532
318,0,7062,2724,4338
319,0,164,188,-24
323,0,139,18,121
324,0,10,199,-189
325,0,4,8,-4
326,0,242,291,-49
327,0,9,18,-9
328,0,28,66,-38
329,0,71,285,-214
330,0,20,54,-34
331,0,17,21,-4
332,0,9,1,8
333,0,25,28,-3
334,0,25,41,-16
335,0,53,52,1
336,0,44,63,-19
337,0,38,32,6
338,0,113,4,109
339,0,219,354,-135
340,0,115,217,-102
341,0,2,1,1
342,0,20,181,-161
343,0,564,505,59
344,0,36,108,-72
345,0,88,67,21
346,0,118,68,50
347,0,42,63,-21
348,0,92,24,68
349,0,8,4,4
350,0,17,22,-5
351,0,18,40,-22
352,0,9,1,8
353,0,318,101,217
354,0,22,32,-10
355,0,9,84,-75
356,0,80,70,10
357,0,48,28,20
358,0,515,561,-46
359,0,482,272,210
360,0,19,39,-20
361,0,2000,3369,-1369
362,0,16,4,12
363,0,104,164,-60
364,0,2,4,-2
365,0,786,2006,-1220
366,0,3014,4982,-1968
367,0,206,131,75
368,0,51,70,-19
369,0,646,1641,-995
370,0,118,265,-147
371,0,51,48,3
373,0,34,53,-19
374,0,9,2,7
375,0,130,122,8
376,0,15,2,13
377,0,539,907,-368
378,0,4144,1994,2150
379,0,156,58,98
380,0,16,30,-14
382,0,3,0,3
383,0,68,75,-7
384,0,12,18,-6
385,0,88,57,31
386,0,46,34,12
387,0,8503,9346,-843
388,0,1055,1407,-352
389,0,1701,835,866
390,0,40,243,-203
391,0,23,77,-54
392,0,83,47,36
393,0,159,131,28
394,0,1032,1172,-140
395,0,14,15,-1
396,0,9,105,-96
397,0,372,906,-534
398,0,76,67,9
399,0,10,64,-54
400,0,198,67,131
401,0,391,515,-124
402,0,194,201,-7
404,0,30,52,-22
405,0,207,64,143
406,0,64,22,42
407,0,64,165,-101
408,0,8040,7659,381
409,0,2,18,-16
410,0,8490,3249,5241
411,0,316,93,223
412,0,55,14,41
413,0,68,30,38
414,0,87,122,-35
415,0,18,21,-3
416,0,53,38,15
417,0,2835,2360,475
418,0,29,24,5
419,0,1,14,-13
420,0,2534,5025,-2491
421,0,146,198,-52
422,0,376,604,-228
423,0,1186,2319,-1133
424,0,5549,12974,-7425
425,0,5904,5757,147
426,0,1,41,-40
427,0,255,235,20
429,0,1386,1208,178
430,0,11,80,-69
431,0,2,27,-25
432,0,2,8,-6
433,0,23,17,6
434,0,32,110,-78
435,0,21,4,17
436,0,104,70,34
437,0,26,205,-179
438,0,149,120,29
439,0,7783,70,7713
441,0,39,51,-12
442,0,32,36,-4
443,0,85,63,22
444,0,1,39,-38
445,0,5337,6638,-1301
446,0,10,16,-6
447,0,49,115,-66
448,0,1476,945,531
449,0,4,6,-2
450,0,81,24,57
451,0,44,161,-117
452,0,21,13,8
453,0,23,9,14
454,0,119,226,-107
455,0,13,18,-5
456,0,18,40,-22
457,0,2881,5922,-3041
458,0,71,8,63
459,0,18,243,-225
460,0,7,57,-50
461,0,46,77,-31
462,0,39,33,6
463,0,15,1,14
464,0,215,34,181
465,0,13,30,-17
466,0,5,16,-11
467,0,454,68,386
469,0,588,2051,-1463
470,0,51,71,-20
471,0,4,4,0
472,0,36,7,29
473,0,107,118,-11
474,0,54,12,42
475,0,24,20,4
476,0,9,19,-10
477,0,125,322,-197
478,0,57,74,-17
479,0,359,210,149
480,0,202,245,-43
